"filename", "language", "CMake", "Ignore", "comment", "blank", "total"
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCHeaderRules.cmake", "CMake", 102, 0, 0, 15, 117
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCLibraryRules.cmake", "CMake", 153, 0, 0, 18, 171
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCObjectRules.cmake", "CMake", 259, 0, 0, 26, 285
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCRules.cmake", "CMake", 5, 0, 0, 1, 6
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCTargetNameUtils.cmake", "CMake", 29, 0, 0, 4, 33
"/home/xiaoyu/gradDesign/llvm-project-postgres/libc/cmake/modules/LLVMLibCTestRules.cmake", "CMake", 228, 0, 0, 22, 250
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeCLCInformation.cmake", "CMake", 9, 0, 0, 3, 12
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeDetermineCLCCompiler.cmake", "CMake", 15, 0, 0, 4, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeDetermineLLAsmCompiler.cmake", "CMake", 20, 0, 0, 5, 25
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeLLAsmInformation.cmake", "CMake", 10, 0, 0, 3, 13
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeTestCLCCompiler.cmake", "CMake", 49, 0, 0, 8, 57
"/home/xiaoyu/gradDesign/llvm-project-postgres/libclc/cmake/CMakeTestLLAsmCompiler.cmake", "CMake", 49, 0, 0, 8, 57
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/CodeCoverage.cmake", "CMake", 40, 0, 0, 11, 51
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/DefineLinkerScript.cmake", "CMake", 50, 0, 0, 7, 57
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/HandleCompilerRT.cmake", "CMake", 63, 0, 0, 2, 65
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/HandleLibCXXABI.cmake", "CMake", 130, 0, 0, 13, 143
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/HandleLibcxxFlags.cmake", "CMake", 224, 0, 0, 31, 255
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/HandleOutOfTreeLLVM.cmake", "CMake", 67, 0, 0, 12, 79
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/Modules/MacroEnsureOutOfSourceBuild.cmake", "CMake", 15, 0, 0, 4, 19
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/caches/AArch64.cmake", "CMake", 2, 0, 0, 1, 3
"/home/xiaoyu/gradDesign/llvm-project-postgres/libcxx/cmake/caches/Apple.cmake", "CMake", 17, 0, 0, 4, 21
